Coin,RMSE,MAE,MAPE,R2
BETH-USD,147.114769971825,103.02513461642795,4.666240931526623,0.811503582811029
BTC-USD,3930.561284299728,3128.8816189236113,2.9702143861149573,0.5217429780163381
ADA-USD,0.039888619865631005,0.03180784318182203,4.65086743204374,0.7068442464898184
BCH-USD,21.294277323104826,17.000816345214847,4.063711406528173,0.7510347267871716
