Coin,Model1,Model2,AE1_mean,AE2_mean,wilcoxon_p,ttest_p,mean_diff,boot_ci_low,boot_ci_high
BCH-USD,RF,XGB,16.19809413062202,17.000815353054474,0.23417257495220345,0.22280530670778048,-0.8027212224324506,-2.024911310540088,0.41955385848914056
LINK-USD,RF,XGB,0.5229027300350374,0.6481359509480794,0.010843292846665395,0.005168030756896291,-0.125233220913042,-0.21148820321401726,-0.04337412147929201
STETH-USD,XGB,RF,109.81266613498263,111.44714078319747,0.9418443019543234,0.6896774511424255,-1.6344746482148196,-9.957086684048921,6.16041936574635
