Model,AvgRank,Points,RMSE,MAE,MAPE,R2
RF,1.6875,69.0,1033.9307160785613,844.2225659334192,3.890409878856249,0.702984245738503
XGB,1.6875,69.0,1027.0155264329699,814.0858089261585,4.097992089984558,0.6629314706257257
LSTM,2.625,54.0,857.4222062578275,674.0677808972655,4.527680253211675,0.3689793818257271
ARIMA,4.25,28.0,5018.0167816503335,4753.945399006752,19.536594934186404,-4.764807824299821
PROPHET,4.75,20.0,2221.8459670121033,1729.4751599755366,23.792747215135762,-6.738947895246358
