,BETH-USD,BTC-USD,ADA-USD,BCH-USD
BETH-USD,1.0,0.8082020286423551,0.6726089618258897,0.7018511124743585
BTC-USD,0.8082020286423551,1.0,0.6573048447613903,0.7207843908790253
ADA-USD,0.6726089618258897,0.6573048447613903,1.0,0.5462674168602537
BCH-USD,0.7018511124743585,0.7207843908790253,0.5462674168602537,1.0
