Date,Predicted,Signal
2025-07-01,2483.866488866667,Hold
2025-07-02,2483.94593763364,Buy
2025-07-03,2483.938671581937,Sell
2025-07-04,2483.9393360940753,Buy
2025-07-05,2483.939275321452,Sell
2025-07-06,2483.9392808793805,Buy
2025-07-07,2483.939280371083,Sell
2025-07-08,2483.9392804175695,Buy
2025-07-09,2483.939280413318,Sell
2025-07-10,2483.9392804137065,Buy
2025-07-11,2483.939280413671,Sell
2025-07-12,2483.9392804136733,Buy
2025-07-13,2483.9392804136733,Hold
2025-07-14,2483.9392804136733,Hold
2025-07-15,2483.9392804136733,Hold
2025-07-16,2483.9392804136733,Hold
2025-07-17,2483.9392804136733,Hold
2025-07-18,2483.9392804136733,Hold
2025-07-19,2483.9392804136733,Hold
2025-07-20,2483.9392804136733,Hold
2025-07-21,2483.9392804136733,Hold
2025-07-22,2483.9392804136733,Hold
2025-07-23,2483.9392804136733,Hold
2025-07-24,2483.9392804136733,Hold
2025-07-25,2483.9392804136733,Hold
2025-07-26,2483.9392804136733,Hold
2025-07-27,2483.9392804136733,Hold
2025-07-28,2483.9392804136733,Hold
2025-07-29,2483.9392804136733,Hold
2025-07-30,2483.9392804136733,Hold
