Date,ADA-USD,ATOM-USD,AVAX-USD,BCH-USD,BETH-USD,BNB-USD,BTC-USD,DAI-USD,DOGE-USD,DOT-USD,ETC-USD,ETH-USD,FTN-USD,GT-USD,HBAR-USD,ICP-USD,KAS-USD,LEO-USD,LINK-USD,LTC-USD,NEAR-USD,ONDO-USD,RUNE-USD,SOL-USD,STETH-USD,SUN-USD,TRX-USD,WETH-USD,XLM-USD,XRP-USD
2024-07-01,0.40290701389312744,6.809518814086914,28.816137313842773,384.1968994140625,3433.68798828125,576.6869506835938,62851.98046875,0.9999920129776001,0.12344200164079666,6.330221176147461,23.215845108032227,3440.341552734375,2.210007905960083,7.873758792877197,0.0767040029168129,8.063421249389648,0.17931599915027618,5.780961036682129,14.327778816223145,74.34024810791016,5.262991905212402,1.189903974533081,4.113767147064209,146.59506225585938,3439.302734375,0.01153200026601553,0.12769700586795807,3446.009033203125,0.091450996696949,0.4766409993171692
2024-07-02,0.4177750051021576,6.797080993652344,28.642642974853516,381.79339599609375,3414.037353515625,578.9810791015625,62029.015625,0.9998040199279785,0.1250160038471222,6.5148210525512695,23.25208854675293,3416.354736328125,2.212027072906494,7.811554908752441,0.0780239999294281,7.853468894958496,0.1772480010986328,5.785345077514648,14.404244422912598,75.86390686035156,5.512514114379883,1.164052963256836,4.252805233001709,153.7004852294922,3415.21728515625,0.011454000137746334,0.1289830058813095,3418.519775390625,0.09350600093603134,0.48451998829841614
2024-07-03,0.4067380130290985,6.372374057769775,26.491296768188477,373.1245422363281,3294.346923828125,556.5777587890625,60173.921875,0.9999679923057556,0.11847099661827087,6.069333076477051,22.54604721069336,3292.916748046875,2.215873956680298,7.601428031921387,0.07213199883699417,7.330558776855469,0.17367799580097198,5.7967400550842285,13.620819091796875,72.0750503540039,5.028016090393066,1.1178430318832397,3.8925929069519043,140.73141479492188,3295.19091796875,0.011384000070393085,0.1285579949617386,3294.75732421875,0.09031900018453598,0.4667600095272064
2024-07-04,0.36285901069641113,5.990478038787842,24.446414947509766,331.47320556640625,3061.70556640625,513.9945068359375,56977.703125,1.00006103515625,0.10488700121641159,5.559063911437988,20.775535583496094,3054.52197265625,2.2807209491729736,7.113072872161865,0.06630799919366837,6.666378974914551,0.16635499894618988,5.761198043823242,12.553675651550293,65.3156967163086,4.619162082672119,1.0358860492706299,3.507059097290039,127.55081939697266,3066.8818359375,0.011003999970853329,0.12719599902629852,3102.281005859375,0.0871329978108406,0.43357399106025696
2024-07-05,0.3498849868774414,5.707789897918701,25.134418487548828,325.8738098144531,2980.46240234375,497.9958190917969,56662.375,1.000216007232666,0.10559400171041489,5.665740966796875,20.254846572875977,2981.5986328125,2.3256309032440186,6.72276496887207,0.06711100041866302,6.807707786560059,0.16255499422550201,5.721890926361084,12.305855751037598,61.88725662231445,4.4178972244262695,0.9909679889678955,3.3597590923309326,134.3693389892578,2980.202880859375,0.010625000111758709,0.12690100073814392,2983.988525390625,0.08552200347185135,0.42549198865890503
2024-07-06,0.37122100591659546,6.077685832977295,27.44342613220215,343.05389404296875,3064.590576171875,527.6743774414062,58303.5390625,1.0001150369644165,0.1136149987578392,6.241476058959961,21.207141876220703,3069.3779296875,2.3265540599823,7.017457008361816,0.07006599754095078,7.553190231323242,0.16889800131320953,5.75053596496582,13.201163291931152,65.43029022216797,4.815793991088867,1.0389670133590698,3.55479097366333,143.24118041992188,3063.227294921875,0.010851999744772911,0.12992900609970093,3065.66748046875,0.09057199954986572,0.44905298948287964
2024-07-07,0.34661799669265747,5.789626121520996,25.705129623413086,312.7734680175781,2929.571044921875,490.6131286621094,55849.109375,0.9997249841690063,0.10423199832439423,5.9062628746032715,19.75033950805664,2929.38720703125,2.283076047897339,6.6845197677612305,0.06456699967384338,6.912590026855469,0.15930500626564026,5.774054050445557,12.351334571838379,62.062255859375,4.399316787719727,0.9002619981765747,3.3356850147247314,131.7740936279297,2932.368408203125,0.01039899978786707,0.12466699630022049,2942.201416015625,0.08388999849557877,0.4198229908943176
2024-07-08,0.3690069913864136,5.827038764953613,25.222187042236328,333.3305969238281,3021.400390625,510.6142578125,56705.09765625,0.999845027923584,0.1075809970498085,5.9447550773620605,20.400548934936523,3018.73193359375,2.3076059818267822,6.776531219482422,0.06634700298309326,6.818933963775635,0.1669750064611435,5.767477035522461,13.114887237548828,64.86933135986328,4.47232723236084,0.9271559715270996,3.5099549293518066,139.4636993408203,3014.502197265625,0.010604999959468842,0.12618300318717957,3022.40625,0.08549600094556808,0.4314799904823303
2024-07-09,0.375328004360199,5.935657978057861,26.421600341796875,331.0573425292969,3063.026123046875,516.568115234375,58009.2265625,1.0000629425048828,0.10751300305128098,6.11407995223999,20.624427795410156,3064.032958984375,2.3262441158294678,6.875373840332031,0.06778000295162201,7.232981204986572,0.1705940067768097,5.858926773071289,12.820453643798828,65.31686401367188,4.53011417388916,0.9394329786300659,3.5552690029144287,141.34844970703125,3062.37060546875,0.010800999589264393,0.129940003156662,3064.510009765625,0.08795499801635742,0.435916006565094
2024-07-10,0.38883501291275024,6.035294055938721,25.76766586303711,340.7474365234375,3095.306884765625,524.5165405273438,57742.49609375,0.9999690055847168,0.10802199691534042,6.098880767822266,21.00213050842285,3102.21875,2.339984893798828,6.90874719619751,0.06642799824476242,7.211949825286865,0.16985400021076202,5.794167995452881,12.796518325805664,66.93814849853516,4.628055095672607,0.9825599789619446,3.6209189891815186,141.97479248046875,3100.167724609375,0.01079500000923872,0.1314540058374405,3101.155029296875,0.0875369980931282,0.4390380084514618
2024-07-11,0.39581701159477234,5.940021991729736,25.22551918029785,347.4631042480469,3099.579345703125,525.1380615234375,57344.9140625,0.9999480247497559,0.10666699707508087,5.904892921447754,20.66400909423828,3100.330810546875,2.3377299308776855,6.893788814544678,0.0656450018286705,7.36171293258667,0.1662919968366623,5.848154067993164,12.350228309631348,67.43598175048828,4.9285569190979,0.9662780165672302,3.4900600910186768,135.8832244873047,3100.1484375,0.01092000026255846,0.1343899965286255,3101.136474609375,0.08877500146627426,0.4490410089492798
2024-07-12,0.4165239930152893,6.153417110443115,25.974353790283203,368.7078552246094,3133.8134765625,533.75732421875,57899.46484375,1.0002470016479492,0.10768499970436096,6.099207878112793,21.470861434936523,3134.15869140625,2.3453259468078613,7.0142669677734375,0.0673229992389679,7.322975158691406,0.16872400045394897,5.675394058227539,12.738323211669922,69.27572631835938,5.183526039123535,0.9840930104255676,3.607314109802246,139.52801513671875,3132.364990234375,0.011067000217735767,0.1372770071029663,3127.118896484375,0.09135899692773819,0.4747300148010254
