Date,Predicted,CI_Lower,CI_Upper,Signal
2025-07-01,0.5721210241317749,0.5129920112277419,0.638065426146133,Hold
2025-07-02,0.5721210241317749,0.49032753153220343,0.6675588156976522,Hold
2025-07-03,0.5721210241317749,0.4736177898850731,0.6911110039448015,Hold
2025-07-04,0.5721210241317749,0.459974012818684,0.7116107804608026,Hold
2025-07-05,0.5721210241317749,0.4482796572892011,0.7301747044087339,Hold
2025-07-06,0.5721210241317749,0.4379632632260433,0.7473742519921175,Hold
2025-07-07,0.5721210241317749,0.4286860375856798,0.7635482324011318,Hold
2025-07-08,0.5721210241317749,0.420227675346,0.7789169668182508,Hold
2025-07-09,0.5721210241317749,0.41243545297124834,0.7936331949533185,Hold
2025-07-10,0.5721210241317749,0.4051983907255913,0.8078079127299903,Hold
2025-07-11,0.5721210241317749,0.39843287084919027,0.82152475410967,Hold
2025-07-12,0.5721210241317749,0.39207405651720373,0.8348485721325161,Hold
2025-07-13,0.5721210241317749,0.386070485940171,0.8478308448170675,Hold
2025-07-14,0.5721210241317749,0.380380514378706,0.8605132331455586,Hold
2025-07-15,0.5721210241317749,0.3749698864319694,0.8729300087754565,Hold
2025-07-16,0.5721210241317749,0.36981002869235646,0.8851097613847818,Hold
2025-07-17,0.5721210241317749,0.36487681770809727,0.8970766307095182,Hold
2025-07-18,0.5721210241317749,0.3601496709884016,0.9088512155384758,Hold
2025-07-19,0.5721210241317749,0.35561086326113295,0.9204512574556272,Hold
2025-07-20,0.5721210241317749,0.35124500335102443,0.9318921639619,Hold
2025-07-21,0.5721210241317749,0.3470386278740241,0.9431874147808406,Hold
2025-07-22,0.5721210241317749,0.3429798813923158,0.9543488817036029,Hold
2025-07-23,0.5721210241317749,0.3390582615741059,0.9653870834291705,Hold
2025-07-24,0.5721210241317749,0.3352644139213609,0.9763113908366284,Hold
2025-07-25,0.5721210241317749,0.3315899647802335,0.9871301939747457,Hold
2025-07-26,0.5721210241317749,0.3280273842635447,0.9978510391395023,Hold
2025-07-27,0.5721210241317749,0.3245698727940839,1.0084807423307998,Hold
2025-07-28,0.5721210241317749,0.3212112664829239,1.0190254838741528,Hold
2025-07-29,0.5721210241317749,0.31794595766157735,1.0294908878885447,Hold
2025-07-30,0.5721210241317749,0.3147688277074284,1.0398820894610024,Hold
