Date,Actual,Forecast,Signal
2024-07-02,381.79339599609375,384.0628474587094,Hold
2024-07-03,373.1245422363281,383.97653969386874,Sell
2024-07-04,331.47320556640625,383.9302349680515,Sell
2024-07-05,325.8738098144531,384.40113896324505,Buy
2024-07-06,343.05389404296875,383.01322658468564,Sell
2024-07-07,312.7734680175781,384.1150365472251,Buy
2024-07-08,333.3305969238281,387.183255628512,Buy
2024-07-09,331.0573425292969,384.8942925350695,Sell
2024-07-10,340.7474365234375,387.22123044358614,Buy
2024-07-11,347.4631042480469,388.17286483006933,Buy
2024-07-12,368.7078552246094,388.22728986285455,Buy
2024-07-13,375.97796630859375,388.3526144125905,Buy
2024-07-14,376.9600830078125,389.3389774192633,Buy
2024-07-15,400.71929931640625,388.8844983638641,Sell
2024-07-16,387.09423828125,387.65378020232055,Sell
2024-07-17,375.7253112792969,388.73948560646573,Buy
2024-07-18,382.8452453613281,387.4013655667591,Sell
2024-07-19,391.8265380859375,386.0936112461839,Sell
2024-07-20,395.6181640625,386.6854778184746,Buy
2024-07-21,400.7705383300781,386.4902367041919,Sell
2024-07-22,385.781494140625,385.30563552590957,Sell
2024-07-23,366.49761962890625,385.1715045463518,Sell
2024-07-24,362.4208679199219,384.4813488430824,Sell
2024-07-25,361.60260009765625,383.60342938475395,Sell
2024-07-26,377.4776306152344,384.0762032934527,Buy
2024-07-27,392.1049499511719,383.975907189985,Sell
2024-07-28,416.6730346679687,384.05080290398547,Buy
2024-07-29,439.7582702636719,383.43929574758994,Sell
2024-07-30,432.6112060546875,382.7700010698767,Sell
2024-07-31,414.818115234375,382.1311723519444,Sell
2024-08-01,413.147216796875,380.3007856456672,Sell
2024-08-02,381.5531005859375,378.573414208082,Sell
2024-08-03,364.3846130371094,378.98879605320553,Buy
2024-08-04,331.857666015625,377.61835431417524,Sell
2024-08-05,309.95574951171875,377.89941538512124,Buy
2024-08-06,314.6262512207031,378.28098434023406,Buy
2024-08-07,312.33428955078125,378.73912780216216,Buy
2024-08-08,354.3216247558594,381.08179108833383,Buy
2024-08-09,347.96014404296875,381.00080355924916,Sell
2024-08-10,354.6650085449219,383.7028910130411,Buy
2024-08-11,330.2902526855469,382.7783961457361,Sell
2024-08-12,354.6017761230469,383.45199256644634,Buy
2024-08-13,351.9599609375,382.56460396924825,Sell
2024-08-14,338.1859436035156,384.7156270243784,Buy
2024-08-15,334.6147155761719,384.8800292225506,Buy
2024-08-16,338.479248046875,383.9972005318193,Sell
2024-08-17,341.055419921875,384.97651025767226,Buy
2024-08-18,333.3903503417969,386.09977043000333,Buy
2024-08-19,338.10125732421875,386.43787419156234,Buy
2024-08-20,335.4502868652344,386.2213809393637,Sell
2024-08-21,349.2322082519531,387.415481404569,Buy
2024-08-22,346.5582275390625,387.4201642415799,Buy
2024-08-23,365.1933898925781,388.2818862207735,Buy
2024-08-24,363.68023681640625,387.6616507439633,Sell
2024-08-25,356.3801574707031,388.4421980570856,Buy
2024-08-26,342.5382080078125,388.1376785940445,Sell
2024-08-27,324.7033996582031,387.7329523628127,Sell
2024-08-28,322.3939514160156,388.07008849163634,Buy
2024-08-29,322.449951171875,388.1923603491928,Buy
2024-08-30,325.16351318359375,389.2473012861844,Buy
2024-08-31,322.2494201660156,390.1199399276623,Buy
2024-09-01,312.7499694824219,390.8779374190827,Buy
2024-09-02,323.7297668457031,391.62987896935516,Buy
2024-09-03,309.1968078613281,391.7102308197024,Buy
2024-09-04,315.29083251953125,393.8733529905205,Buy
2024-09-05,307.4684143066406,393.5711863441502,Sell
2024-09-06,294.8648681640625,395.0430171276388,Buy
2024-09-07,299.4573669433594,396.2973590493701,Buy
2024-09-08,305.2160949707031,396.51207819696253,Buy
2024-09-09,322.45269775390625,398.33041113933245,Buy
2024-09-10,329.6400451660156,399.3858269501071,Buy
2024-09-11,337.615966796875,400.37550205842257,Buy
2024-09-12,333.01947021484375,400.46206017767247,Buy
2024-09-13,335.8511047363281,400.9257609347573,Buy
2024-09-14,327.154296875,400.64308208713084,Sell
2024-09-15,316.6377258300781,401.2434187821298,Buy
2024-09-16,311.91546630859375,401.41221976630214,Buy
2024-09-17,314.1930236816406,401.5307884017024,Buy
2024-09-18,325.80963134765625,402.2943168526234,Buy
2024-09-19,340.2292175292969,402.9775903767219,Buy
2024-09-20,335.6577453613281,403.48105814196106,Buy
2024-09-21,345.7752380371094,404.11726576493936,Buy
2024-09-22,342.98187255859375,403.0727403979584,Sell
2024-09-23,342.42919921875,403.59856075713196,Buy
2024-09-24,348.152099609375,403.33587104323914,Sell
2024-09-25,343.22100830078125,402.7093660397556,Sell
2024-09-26,351.9991455078125,403.0565877764699,Buy
2024-09-27,359.0396728515625,402.2312795938614,Sell
2024-09-28,353.09991455078125,402.09206036092394,Sell
2024-09-29,352.8612365722656,402.10342668893054,Buy
2024-09-30,337.37799072265625,400.9459551045431,Sell
2024-10-01,318.2869873046875,401.0297638514492,Buy
2024-10-02,316.298095703125,400.8771353447488,Sell
2024-10-03,320.2301940917969,400.35789007111464,Sell
2024-10-04,324.7106018066406,401.30422441020687,Buy
2024-10-05,321.6606140136719,402.1103499117947,Buy
2024-10-06,324.4873352050781,402.3792592221699,Buy
2024-10-07,324.4577331542969,402.24609306874737,Sell
2024-10-08,328.7540283203125,402.8826602431147,Buy
2024-10-09,320.572509765625,403.0252332629711,Buy
2024-10-10,322.5751647949219,403.5274468024279,Buy
2024-10-11,326.8042297363281,403.1842004097543,Sell
2024-10-12,329.4590759277344,403.62398745465043,Buy
2024-10-13,321.17864990234375,404.12795729417985,Buy
2024-10-14,368.0122985839844,404.34693965165104,Buy
2024-10-15,354.6675720214844,402.52008556682915,Sell
2024-10-16,365.4289245605469,405.2867986819139,Buy
2024-10-17,369.3623352050781,402.6644560264864,Sell
2024-10-18,367.1418151855469,401.54214231087866,Sell
2024-10-19,363.72308349609375,401.64026098831755,Buy
2024-10-20,369.35589599609375,400.3950406640271,Sell
2024-10-21,363.7775573730469,398.96805373418994,Sell
2024-10-22,357.16131591796875,398.88470976590963,Sell
2024-10-23,347.05072021484375,397.9041570464564,Sell
2024-10-24,367.38958740234375,397.0295013271686,Sell
2024-10-25,348.0643615722656,395.83998021483546,Sell
2024-10-26,347.7802429199219,397.11647586723166,Buy
2024-10-27,352.1592712402344,395.14151457348146,Sell
2024-10-28,365.2552185058594,394.56275730126964,Sell
2024-10-29,385.384521484375,394.7345022547805,Buy
2024-10-30,369.8304138183594,393.9098991463995,Sell
2024-10-31,358.219970703125,393.6726073229927,Sell
2024-11-01,349.5990295410156,391.828562772267,Sell
2024-11-02,353.3771667480469,391.01852365739774,Sell
2024-11-03,340.2908935546875,390.7462702258313,Sell
2024-11-04,329.0894470214844,391.0487813042293,Buy
2024-11-05,343.36505126953125,390.25710801284595,Sell
2024-11-06,378.5013732910156,389.5055075771354,Sell
2024-11-07,377.6909484863281,389.87422742302255,Buy
2024-11-08,377.42822265625,390.6371316384144,Buy
2024-11-09,406.3508911132813,388.322356429451,Sell
2024-11-10,442.1380310058594,386.3055224470996,Sell
2024-11-11,473.32672119140625,386.0838481131514,Sell
2024-11-12,434.3050231933594,384.2322560198265,Sell
2024-11-13,439.2732849121094,382.3351558168144,Sell
2024-11-14,414.5817565917969,377.83587162938164,Sell
2024-11-15,433.191162109375,377.2624640112198,Sell
2024-11-16,462.042236328125,374.6589698044223,Sell
2024-11-17,432.03131103515625,372.8274902773215,Sell
2024-11-18,451.98638916015625,372.3858902612928,Sell
2024-11-19,447.0617980957031,368.01031423346126,Sell
2024-11-20,440.3277893066406,367.08245606918973,Sell
2024-11-21,486.0648498535156,365.48681700319105,Sell
2024-11-22,490.2834777832031,361.8581764350737,Sell
2024-11-23,509.9440612792969,361.3530372767155,Sell
2024-11-24,514.7054443359375,358.14496721048124,Sell
2024-11-25,491.65716552734375,355.14227054130936,Sell
2024-11-26,492.5515441894531,352.97226554501594,Sell
2024-11-27,519.6979370117188,349.520661995743,Sell
2024-11-28,511.92437744140625,346.8931761490687,Sell
2024-11-29,518.328369140625,345.60699186848694,Sell
2024-11-30,525.2651977539062,342.0479467511395,Sell
2024-12-01,532.6294555664062,339.2990673730519,Sell
2024-12-02,538.0313110351562,337.1366453667918,Sell
2024-12-03,538.0313110351562,334.39902104535315,Sell
2024-12-04,538.0313110351562,331.60946391865934,Sell
2024-12-05,538.0313110351562,328.97828984722844,Sell
2024-12-06,538.0313110351562,326.42860994381977,Sell
2024-12-07,538.0313110351562,323.8978541572965,Sell
2024-12-08,538.0313110351562,321.43675695817876,Sell
2024-12-09,553.742919921875,319.04945397084276,Sell
2024-12-10,516.675048828125,316.4782361434631,Sell
2024-12-11,547.3112182617188,315.047428062795,Sell
2024-12-12,539.8097534179688,311.2701988348895,Sell
2024-12-13,542.1737670898438,310.34921493631805,Sell
2024-12-14,534.1950073242188,308.0564510269844,Sell
2024-12-15,546.8533935546875,305.6280192267364,Sell
2024-12-16,537.910888671875,303.4134728351945,Sell
2024-12-17,529.7596435546875,302.0290595747252,Sell
2024-12-18,480.6501159667969,299.7553596260916,Sell
2024-12-19,440.0602722167969,298.3735608753814,Sell
2024-12-20,448.8754577636719,296.6426166177795,Sell
2024-12-21,456.0484619140625,295.1434881645911,Sell
2024-12-22,445.06976318359375,295.5787610343212,Buy
2024-12-23,460.2939758300781,295.26625377189157,Sell
2024-12-24,470.2679443359375,293.5279009955717,Sell
2024-12-25,465.3318786621094,293.42161629318235,Sell
2024-12-26,437.1010437011719,293.0870239966157,Sell
2024-12-27,440.2722473144531,292.08721815298514,Sell
2024-12-28,451.0380554199219,290.69409212889167,Sell
2024-12-29,438.50543212890625,290.83245427787506,Buy
2024-12-30,443.3424377441406,291.00619433830497,Buy
2024-12-31,433.8179931640625,289.6014645360308,Sell
2025-01-01,449.35986328125,289.60739099289196,Buy
2025-01-02,461.3688049316406,288.9941019492138,Sell
2025-01-03,473.068359375,288.7337028153239,Sell
2025-01-04,478.9778747558594,288.14776750942355,Sell
2025-01-05,470.9113464355469,287.3227018519876,Sell
2025-01-06,482.6858825683594,286.57788660666137,Sell
2025-01-07,437.4750061035156,285.2818008532157,Sell
2025-01-08,434.2833862304687,285.5511527652602,Buy
2025-01-09,421.61907958984375,283.7279876571865,Sell
2025-01-10,449.9591369628906,283.93791599983507,Buy
2025-01-11,440.8851318359375,283.5354947265282,Sell
2025-01-12,447.8367309570313,284.1005399595755,Buy
2025-01-13,428.0797119140625,282.9867127614114,Sell
2025-01-14,438.0751647949219,282.99990174524623,Buy
2025-01-15,461.0185546875,282.2320917476894,Sell
2025-01-16,461.8852233886719,282.0542275812051,Sell
2025-01-17,489.7207336425781,282.2649505394172,Buy
2025-01-18,466.13433837890625,280.7774058948926,Sell
2025-01-19,426.2817077636719,280.888100920879,Buy
2025-01-20,431.2214965820313,280.0480455760933,Sell
2025-01-21,446.2886962890625,278.48770970039186,Sell
2025-01-22,434.7673950195313,279.1105179111332,Buy
2025-01-23,437.4604187011719,279.6915611182044,Buy
2025-01-24,431.7235412597656,278.35525547465204,Sell
2025-01-25,445.2803649902344,278.38374301200736,Buy
2025-01-26,425.595947265625,278.20719637386867,Sell
2025-01-27,426.9776611328125,278.5150566177798,Buy
2025-01-28,410.5862121582031,277.53864016447886,Sell
2025-01-29,414.92584228515625,277.95595392975724,Buy
2025-01-30,434.8733215332031,277.7317702636896,Sell
2025-01-31,424.243408203125,277.660380884371,Sell
2025-02-01,404.39166259765625,278.4207328127618,Buy
2025-02-02,359.7787780761719,277.9701109724695,Sell
2025-02-03,353.2078857421875,278.22377386546304,Buy
2025-02-04,330.6802978515625,278.10640899718675,Sell
2025-02-05,327.9939880371094,280.11577623053495,Buy
2025-02-06,315.9839782714844,280.9549587721503,Buy
2025-02-07,318.4578552246094,282.62990780111204,Buy
2025-02-08,323.50653076171875,284.02453909530817,Buy
