Date,Actual,Forecast,Signal
2024-07-02,0.4177750051021576,0.403428354675212,Hold
2024-07-03,0.4067380130290985,0.40406009777890556,Buy
2024-07-04,0.3628590106964111,0.4051956018916929,Buy
2024-07-05,0.3498849868774414,0.40557042620134875,Buy
2024-07-06,0.3712210059165954,0.4029654498068046,Sell
2024-07-07,0.3466179966926574,0.4001262694226681,Sell
2024-07-08,0.3690069913864136,0.4016015306918901,Buy
2024-07-09,0.375328004360199,0.4048992887462439,Buy
2024-07-10,0.3888350129127502,0.40773625689477905,Buy
2024-07-11,0.3958170115947723,0.40876769719070166,Buy
2024-07-12,0.4165239930152893,0.4078280143919597,Sell
2024-07-13,0.441415011882782,0.40767242304386914,Sell
2024-07-14,0.4323480129241943,0.40955338075219605,Buy
2024-07-15,0.4455820024013519,0.41376184882243866,Buy
2024-07-16,0.4381889998912811,0.4154218201342456,Buy
2024-07-17,0.4367479979991913,0.4144183253155269,Sell
2024-07-18,0.423905998468399,0.4121550487211691,Sell
2024-07-19,0.4390339851379394,0.41153333785965923,Sell
2024-07-20,0.4376370012760162,0.4129092567947099,Buy
2024-07-21,0.4460769891738891,0.41586101826034305,Buy
2024-07-22,0.4265469908714294,0.4178917657551522,Buy
2024-07-23,0.4100970029830932,0.417648356550324,Sell
2024-07-24,0.4068470001220703,0.41538724929521487,Sell
2024-07-25,0.3946709930896759,0.41280281366588517,Sell
2024-07-26,0.4177469909191131,0.41320837241817826,Buy
2024-07-27,0.4181979894638061,0.41545906187266285,Buy
2024-07-28,0.4073869884014129,0.4190176902432265,Buy
2024-07-29,0.404013991355896,0.42074853422743347,Buy
2024-07-30,0.4016799926757812,0.41874955969104194,Sell
2024-07-31,0.3887729942798614,0.41582235006307977,Sell
2024-08-01,0.3927060067653656,0.41545810651982146,Sell
2024-08-02,0.3638220131397247,0.4175554044481769,Buy
2024-08-03,0.364095002412796,0.42032472426790274,Buy
2024-08-04,0.3439379930496216,0.41965406933690413,Sell
2024-08-05,0.3131549954414367,0.4166217691260021,Sell
2024-08-06,0.3307819962501526,0.414248764707863,Sell
2024-08-07,0.3236980140209198,0.41256186666311007,Sell
2024-08-08,0.3518140017986297,0.41526932237705777,Buy
2024-08-09,0.3485470116138458,0.41925160505256276,Buy
2024-08-10,0.3462890088558197,0.4226034580551089,Buy
2024-08-11,0.3283219933509826,0.42267917222312107,Buy
