Date,Predicted,Signal
2025-07-01,0.7062409209006443,Hold
2025-07-02,0.7123866321885786,Buy
2025-07-03,0.7098105861907231,Sell
2025-07-04,0.7243339490553202,Buy
2025-07-05,0.7290058741385292,Buy
2025-07-06,0.7300800609617513,Buy
2025-07-07,0.7221182914355375,Sell
2025-07-08,0.7243611701022016,Buy
2025-07-09,0.7355292650921421,Buy
2025-07-10,0.7369920855703308,Buy
2025-07-11,0.7545089932764668,Buy
2025-07-12,0.7610934071068607,Buy
2025-07-13,0.7629896986630396,Buy
2025-07-14,0.7547763994980392,Sell
2025-07-15,0.7557359648015065,Buy
2025-07-16,0.7646543251168174,Buy
2025-07-17,0.7629877125573084,Sell
2025-07-18,0.776600924041222,Buy
2025-07-19,0.7786284577172479,Buy
2025-07-20,0.7754480077788403,Sell
2025-07-21,0.7617800332255803,Sell
2025-07-22,0.7570537450037341,Sell
2025-07-23,0.7602028448949061,Buy
2025-07-24,0.7528286036615875,Sell
2025-07-25,0.76093453852663,Buy
2025-07-26,0.7577842176065641,Sell
2025-07-27,0.7498717594152089,Sell
2025-07-28,0.7320188152389858,Sell
2025-07-29,0.7237384385642424,Sell
2025-07-30,0.7240292207341456,Buy
