Date,Predicted,Signal
2025-07-01,1057.0780039242688,Hold
2025-07-02,981.6681451038177,Sell
2025-07-03,902.2613055963163,Sell
2025-07-04,866.4481586578835,Sell
2025-07-05,840.1134039964752,Sell
2025-07-06,795.2370783278699,Sell
2025-07-07,789.9518098239214,Sell
2025-07-08,768.1872231972391,Sell
2025-07-09,797.5923310552431,Buy
2025-07-10,814.5047286914257,Buy
2025-07-11,864.8930995677551,Buy
2025-07-12,913.3162744151748,Buy
2025-07-13,930.746271845356,Buy
2025-07-14,974.6390781818886,Buy
2025-07-15,988.5841960103919,Buy
2025-07-16,1040.2238362817366,Buy
2025-07-17,1066.2108229688504,Buy
2025-07-18,1113.1321726045605,Buy
2025-07-19,1146.4422352408649,Buy
2025-07-20,1138.2536373498015,Sell
2025-07-21,1147.370742206574,Buy
2025-07-22,1118.89773289559,Sell
2025-07-23,1122.1133560357662,Buy
2025-07-24,1095.3826139379485,Sell
2025-07-25,1087.033608452726,Sell
2025-07-26,1064.2446528290427,Sell
2025-07-27,1000.7910780878424,Sell
2025-07-28,957.0375606688697,Sell
2025-07-29,879.5090844066772,Sell
2025-07-30,838.7334542417357,Sell
