Date,Open,High,Low,Close,Volume,Coin
2024-07-01,3433.623779296875,3509.616455078125,3426.34326171875,3439.302734375,41518341.0,STETH-USD
2024-07-02,3439.186279296875,3457.814697265625,3406.366943359375,3415.21728515625,26224045.0,STETH-USD
2024-07-03,3415.421630859375,3423.702392578125,3260.73876953125,3295.19091796875,62537123.0,STETH-USD
2024-07-04,3295.093994140625,3308.140380859375,3066.718994140625,3066.8818359375,102018102.0,STETH-USD
2024-07-05,3066.453125,3103.188720703125,2825.9677734375,2980.202880859375,179811848.0,STETH-USD
2024-07-06,2980.169189453125,3075.958251953125,2956.765625,3063.227294921875,51413507.0,STETH-USD
2024-07-07,3063.212158203125,3064.449951171875,2925.949951171875,2932.368408203125,76132840.0,STETH-USD
2024-07-08,2932.366455078125,3069.33154296875,2825.8486328125,3014.502197265625,129241468.0,STETH-USD
2024-07-09,3014.40966796875,3095.98046875,3008.680908203125,3062.37060546875,58124039.0,STETH-USD
2024-07-10,3062.6748046875,3146.912841796875,3036.9560546875,3100.167724609375,79008807.0,STETH-USD
2024-07-11,3101.088623046875,3205.0947265625,3069.049560546875,3100.1484375,52079317.0,STETH-USD
2024-07-12,3100.1650390625,3151.11474609375,3049.3828125,3132.364990234375,35353608.0,STETH-USD
2024-07-13,3132.4189453125,3199.986328125,3113.876220703125,3183.324462890625,26861533.0,STETH-USD
2024-07-14,3183.85205078125,3269.598876953125,3167.68017578125,3252.042236328125,36281534.0,STETH-USD
2024-07-15,3252.051025390625,3495.4638671875,3245.466064453125,3492.802001953125,74457921.0,STETH-USD
2024-07-16,3493.387451171875,3499.290283203125,3357.209228515625,3446.138916015625,76265527.0,STETH-USD
2024-07-17,3446.06396484375,3517.36865234375,3384.3974609375,3393.941162109375,81229169.0,STETH-USD
2024-07-18,3393.942626953125,3483.959716796875,3378.787353515625,3428.085693359375,51900595.0,STETH-USD
2024-07-19,3428.04736328125,3537.470947265625,3382.098388671875,3505.323486328125,52862369.0,STETH-USD
2024-07-20,3505.3125,3537.077392578125,3482.881103515625,3520.5390625,37070907.0,STETH-USD
2024-07-21,3520.32568359375,3543.197021484375,3421.6787109375,3533.072509765625,37235123.0,STETH-USD
2024-07-22,3533.085205078125,3556.27978515625,3431.36328125,3438.1708984375,47218833.0,STETH-USD
2024-07-23,3438.679443359375,3526.72265625,3402.478271484375,3482.505859375,81166932.0,STETH-USD
2024-07-24,3482.050537109375,3486.63671875,3319.071044921875,3336.015380859375,54278747.0,STETH-USD
2024-07-25,3336.015380859375,3339.53271484375,3090.528076171875,3170.303955078125,175143234.0,STETH-USD
2024-07-26,3170.303955078125,3281.760009765625,3169.91357421875,3277.38720703125,63735984.0,STETH-USD
2024-07-27,3277.1494140625,3318.72021484375,3215.5,3249.004638671875,39886263.0,STETH-USD
2024-07-28,3247.41748046875,3277.821533203125,3206.24609375,3271.4072265625,19193298.0,STETH-USD
2024-07-29,3271.4072265625,3393.7412109375,3268.410400390625,3323.61376953125,46134488.0,STETH-USD
2024-07-30,3323.61376953125,3358.0947265625,3257.478759765625,3276.561767578125,43548130.0,STETH-USD
2024-07-31,3276.561767578125,3345.49267578125,3219.770263671875,3229.974365234375,76111694.0,STETH-USD
2024-08-01,3229.962890625,3239.918701171875,3082.432861328125,3201.034423828125,88879615.0,STETH-USD
2024-08-02,3201.12646484375,3204.496337890625,2978.251953125,2983.100341796875,236869328.0,STETH-USD
2024-08-03,2983.100341796875,3011.132568359375,2865.4091796875,2902.112548828125,64013496.0,STETH-USD
2024-08-04,2902.04345703125,2922.889892578125,2660.931640625,2679.63916015625,150964592.0,STETH-USD
2024-08-05,2679.63916015625,2688.880126953125,2157.159423828125,2425.7490234375,959436900.0,STETH-USD
2024-08-06,2416.892333984375,2540.297119140625,2416.868896484375,2454.460205078125,111332013.0,STETH-USD
2024-08-07,2454.460205078125,2544.296875,2316.296875,2334.709716796875,113834483.0,STETH-USD
2024-08-08,2334.712158203125,2771.824462890625,2326.72509765625,2682.73974609375,92736153.0,STETH-USD
2024-08-09,2683.17236328125,2702.76904296875,2562.353515625,2600.7333984375,83646373.0,STETH-USD
2024-08-10,2600.55224609375,2638.236572265625,2583.9482421875,2606.00244140625,44637070.0,STETH-USD
2024-08-11,2606.00244140625,2704.010498046875,2551.93701171875,2557.009521484375,58924228.0,STETH-USD
2024-08-12,2557.009521484375,2743.5869140625,2520.05419921875,2725.312744140625,64578205.0,STETH-USD
2024-08-13,2725.312744140625,2732.576904296875,2614.909423828125,2703.009765625,49348137.0,STETH-USD
2024-08-14,2703.063720703125,2764.519287109375,2638.6767578125,2665.67724609375,29096193.0,STETH-USD
2024-08-15,2665.674560546875,2673.572265625,2529.478271484375,2571.32958984375,61278028.0,STETH-USD
2024-08-16,2570.193603515625,2626.502197265625,2560.1787109375,2592.437744140625,51369393.0,STETH-USD
2024-08-17,2592.283203125,2622.695068359375,2590.12646484375,2611.4423828125,25524898.0,STETH-USD
2024-08-18,2611.297607421875,2679.98095703125,2597.354248046875,2621.03759765625,28984959.0,STETH-USD
2024-08-19,2620.3662109375,2646.71728515625,2571.249755859375,2628.58154296875,31878128.0,STETH-USD
2024-08-20,2628.58154296875,2693.771728515625,2563.116943359375,2584.79052734375,95765094.0,STETH-USD
2024-08-21,2572.132080078125,2655.893798828125,2543.7060546875,2629.51904296875,61104175.0,STETH-USD
2024-08-22,2629.51904296875,2643.318115234375,2592.962890625,2622.9169921875,40075181.0,STETH-USD
2024-08-23,2622.9169921875,2792.952880859375,2622.380859375,2763.932861328125,49233125.0,STETH-USD
2024-08-24,2763.932861328125,2812.19091796875,2743.927978515625,2770.493896484375,54528938.0,STETH-USD
2024-08-25,2770.408935546875,2786.01708984375,2737.5302734375,2747.8857421875,29024085.0,STETH-USD
2024-08-26,2747.8857421875,2760.203857421875,2670.380859375,2681.51513671875,36557815.0,STETH-USD
2024-08-27,2681.51513671875,2698.233154296875,2437.913330078125,2458.487548828125,71122564.0,STETH-USD
2024-08-28,2458.48046875,2551.20458984375,2423.208251953125,2529.869384765625,64505641.0,STETH-USD
2024-08-29,2529.869384765625,2592.217529296875,2511.141845703125,2527.11474609375,32533103.0,STETH-USD
2024-08-30,2527.11474609375,2537.77197265625,2440.05078125,2525.11669921875,54335661.0,STETH-USD
2024-08-31,2525.034912109375,2529.9697265625,2494.560302734375,2512.817138671875,16640863.0,STETH-USD
2024-09-01,2512.817138671875,2514.609130859375,2402.095947265625,2426.720947265625,37829220.0,STETH-USD
2024-09-02,2426.720947265625,2552.28955078125,2423.817138671875,2537.60986328125,41724754.0,STETH-USD
2024-09-03,2537.60986328125,2548.04931640625,2422.89697265625,2422.89697265625,40193431.0,STETH-USD
2024-09-04,2422.846435546875,2486.59619140625,2276.092041015625,2447.94384765625,104862430.0,STETH-USD
2024-09-05,2447.94384765625,2464.94580078125,2351.04443359375,2367.51806640625,83007202.0,STETH-USD
2024-09-06,2367.51806640625,2401.987548828125,2163.74658203125,2220.77685546875,233287152.0,STETH-USD
2024-09-07,2221.083251953125,2301.727294921875,2221.083251953125,2270.203857421875,44771362.0,STETH-USD
